,embed_hidden_dim,embed_dim1,embed_dim2,relu_hidden_dim,tr_mae,val_mae
0,128,128,256,256,192.51076278528686,391.952312065467
1,64,256,256,256,201.37703459770927,406.7202628334302
2,32,64,128,1024,245.47963323926993,283.4353436182149
3,32,64,256,256,228.18696825065376,291.4411835257667
4,128,128,512,1024,134.59157295489032,266.7014304604758
5,128,64,128,1024,183.9971933654527,276.0634323219615
6,128,256,512,512,181.2520307776607,425.0018198931679
7,64,128,128,256,248.25912088287868,361.80958285100866
8,64,256,256,512,169.88711532295721,335.92067513054167
9,128,128,128,1024,193.88216701935997,292.2908865188697
10,32,64,128,512,223.1073060372584,285.63597109237566
11,128,64,256,256,204.2709814355687,342.3394259555027
12,32,64,256,512,202.18198373764537,266.75595142660177
13,64,64,256,256,203.10859350284832,310.05004205596543
14,64,64,512,512,161.6777774901059,258.0441181720516
15,64,128,256,256,208.33155911965034,350.1078227648385
16,32,64,256,1024,182.06100770763476,247.1263794916802
17,32,128,512,512,177.1984513862612,265.3279594442031
18,128,256,256,256,210.89778642975355,557.5154516619162
19,128,128,128,256,229.3549893318785,379.1807987009827
20,32,256,512,256,211.67293588485558,385.3433369609931
21,128,64,256,512,181.92562676917296,285.2831337785787
22,128,128,512,256,182.1990880197309,443.7806801923702
23,128,64,128,512,199.40579020701338,297.87113631206927
24,128,256,512,1024,130.2573325043592,331.6688708627305
25,128,256,128,256,235.28051152206527,454.32419404434324
26,128,64,512,1024,134.54538604436675,252.23558533581436
27,32,256,256,512,185.3821106889899,303.03637396082144
28,32,64,512,1024,165.79528244937734,246.62026649036898
29,32,128,256,1024,175.9219826179387,259.20957381196024
30,32,128,512,256,205.27054379754142,318.1030839702887
31,32,128,256,512,189.29311281335373,267.6969053924588
32,64,128,128,512,207.86817809895763,301.872382001347
33,32,256,256,256,213.80225147009898,354.82467213802096
34,32,256,512,1024,142.46939508723432,264.87490605084855
35,128,256,128,1024,182.3277164245255,301.0338875035813
36,128,256,256,1024,158.10475448017036,305.78625854441304
37,128,128,512,512,164.53084297874548,316.2135131787085
38,128,64,512,256,187.04782107956834,349.1580435718206
39,64,128,512,256,193.95005253451043,356.62587407400247
40,64,64,512,256,191.87723892528953,291.66838468694766
41,32,256,128,256,246.42572012436406,370.34928679416413
42,32,128,128,256,248.0125040069797,328.174955330454
43,32,256,512,512,157.7302978145838,301.7244255492913
44,128,128,256,1024,151.6475043378685,274.51652675164
45,32,128,512,1024,149.95800329881448,247.16949976961064
46,64,256,128,1024,189.7151246347977,298.20559812297046
47,64,256,512,256,179.62140760537972,493.83935639681795
48,32,128,256,256,212.3076229851938,298.84382003802807
49,64,256,512,1024,143.55120737221418,278.6040587363955
50,128,128,128,512,194.01404345725075,310.46759900512893
51,64,128,128,1024,197.94426473515796,279.58267380643474
52,64,128,512,1024,140.25085705941146,252.09475023702078
53,32,256,128,1024,201.45778185118024,289.4134108654975
54,64,256,128,256,243.007186594326,425.36639575260386
55,128,256,512,256,190.78741340498937,559.2095397372607
56,64,64,512,1024,160.997523872391,243.2045156939418
57,32,256,128,512,209.81127340593025,326.23140493987444
58,128,128,256,512,177.9134648896918,306.89798134297683
59,128,64,128,256,242.07010889669328,365.8958206847479
60,64,128,256,1024,175.80809759260242,266.5992192253439
61,32,128,128,1024,246.95324474804454,296.5909435724686
62,64,64,256,512,192.5328043366244,271.5688422404974
63,64,256,128,512,211.5661312561892,332.3290638532831
64,64,64,128,512,219.01887672809238,288.51579402137185
65,64,256,512,512,159.60564654617048,355.9814474640895
66,128,256,128,512,206.27722426831647,359.0164755679675
67,64,64,256,1024,164.1937758847921,251.77106832173544
68,128,256,256,512,174.22103907795733,391.84883454324836
69,64,128,256,512,182.14242407392652,293.64065829075264
70,64,64,128,256,243.45255072649792,316.03994069343327
71,64,128,512,512,157.39717947381624,273.4980701343024
72,32,64,128,256,249.55663456004027,299.2833229012493
73,32,256,256,1024,170.26275227501486,280.942796840849
74,128,64,256,1024,156.60948133629543,257.9961077011992
75,32,128,128,512,220.05017730711432,295.7660712592165
76,32,64,512,512,183.27721282418898,257.04558861780436
77,128,64,512,512,154.5488502231785,286.44465616384434
78,32,64,512,256,212.6371848024564,273.39513660387263
79,64,256,256,1024,151.33341649677652,281.8234578921426
